horizon,rank,feature,pct_of_total
1,1,C5_FFA_C5_1MON_Stoch_K_14,0.005854501388967037
1,2,C5_FFA_C5_1MON_BB_pct_20,0.005524232517927885
1,3,C5_FFA_C5_1MON_ROC_5d,0.005502146203070879
1,4,C5_FFA_C5_1MON_Zscore_21d,0.0054217129945755005
1,5,C5_FFA_C5_1MON_Stoch_D_14,0.005295866169035435
1,6,C5_FFA_C5_1MON_Stoch_K_21,0.005047942977398634
1,7,ROC_5d,0.005035846494138241
1,8,IronOre_Spot_CFR_NChina_USD_t_MACD,0.005032156128436327
1,9,IronOre_Spot_CFR_NChina_USD_t_Spread_EMA12_EMA26,0.005032156128436327
1,10,C5_logret_5d,0.004969330970197916
2,1,TF_Brazil_CHN_IronOre_MT_roll21d,0.005630580708384514
2,2,TF_Brazil_CHN_IronOre_MT_21d_sum,0.005630580708384514
2,3,IronOre_Spot_CFR_NChina_USD_t_MOM_62d,0.00560565572232008
2,4,IronOre_Spot_CFR_NChina_USD_t_MACD_signal,0.005542004480957985
2,5,IronOre_Spot_CFR_NChina_USD_t_Spread_EMA12_EMA26,0.005527065601199865
2,6,IronOre_Spot_CFR_NChina_USD_t_MACD,0.005527065601199865
2,7,IronOre_Spot_CFR_NChina_USD_t_MOM_42d,0.005490660667419434
2,8,MonthOfYear,0.005375093314796686
2,9,WeekOfYear,0.0052937911823391914
2,10,TF_Brazil_CHN_IronOre_MT_7d_sum,0.005132867023348808
3,1,IronOre_Spot_CFR_NChina_USD_t_MOM_62d,0.0057879299856722355
3,2,TF_Brazil_CHN_IronOre_MT_roll21d,0.005786914378404617
3,3,TF_Brazil_CHN_IronOre_MT_21d_sum,0.005786914378404617
3,4,MonthOfYear,0.005681324750185013
3,5,IronOre_Spot_CFR_NChina_USD_t_MACD_signal,0.005681180860847235
3,6,IronOre_Spot_CFR_NChina_USD_t_Spread_EMA12_EMA26,0.005668373312801123
3,7,IronOre_Spot_CFR_NChina_USD_t_MACD,0.005668373312801123
3,8,IronOre_Spot_CFR_NChina_USD_t_MOM_42d,0.005641419906169176
3,9,WeekOfYear,0.005608859471976757
3,10,QuarterOfYear,0.005435626953840256
4,1,IronOre_Spot_CFR_NChina_USD_t_MOM_62d,0.005827360320836306
