,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
var_explained_%,19.543266,17.252096,8.236879,5.0463605,4.887689,3.2924824,3.0699801,2.6268396,2.216,1.8634198,1.5493801,1.3856822,1.0814021,1.064984,1.008242,0.89849585,0.84740955,0.7906572,0.75766814,0.7016893,0.6594883,0.5970311,0.57898694,0.5689222,0.54454726,0.511593,0.4630328
C5_FFA_C5_1MON,0.05394991,0.0554746,0.0118790185,0.059007253,0.028794343,0.025218584,0.01998652,-0.007944575,0.026218522,-0.01942863,-0.009829802,0.014426923,-0.034299124,0.043097883,-0.013261973,-0.025139732,-0.011546953,-0.031149304,-0.010820561,0.018513907,0.0069936546,-0.011042561,0.013323206,0.008211007,0.0149130635,0.02617706,-0.0047011483
C5_FFA_C5_2MON,0.056806505,0.05441235,0.0064968606,0.03809577,0.031007476,0.012966303,0.024765026,-0.038346972,0.03416719,-0.010089175,-0.012816175,0.016224034,-0.03670189,0.048795234,-0.0039876564,-0.025960328,-0.014924351,-0.033627667,-0.005239901,0.011975273,0.026493547,-0.027972797,0.017378705,-0.01913634,-0.0033581536,0.010682364,0.0056891134
C3_FFA_C3_1MON,0.061035916,0.043265276,0.0009057936,0.060790174,0.027979158,0.02604355,0.0121734375,-0.026993562,0.038244527,-0.02234027,-0.015101961,0.01621445,-0.033944003,0.050976086,-0.001296507,-0.02516614,-0.017987534,-0.04000112,-0.0015738297,0.00633925,0.012885112,-0.02299708,0.00031131905,-0.0073703546,-0.003310549,0.012764479,0.0060493536
C3_FFA_C3_2MON,0.06240903,0.040068552,-0.0016651229,0.045568258,0.029899329,0.015778733,0.017400868,-0.05057635,0.04321183,-0.011238845,-0.014353701,0.019414762,-0.0380381,0.057075094,0.0073939236,-0.028720492,-0.019276407,-0.043063585,0.0036530904,0.0011709165,0.029656706,-0.043636717,0.0054088235,-0.024177473,-0.011762837,0.0071286806,0.017620796
China_M2_bn_USD,0.071224846,-0.036826465,0.031247858,-0.026940031,-0.009502537,-0.032914806,0.018051924,0.02172073,0.030938929,0.0069400114,0.00838882,0.0071948455,0.009209907,-0.010237768,-0.009439358,0.022507712,0.010851022,-0.0018892747,-0.014487557,-0.011123583,0.004771428,0.005992988,-0.012420308,-0.023836816,0.004883167,0.0057658567,-0.0076527996
China_New_Loan_bn_CNY,-0.00043747126,0.005983369,-0.00028505383,-0.052930262,0.01753548,-0.03079363,0.026967304,-0.060562026,-0.004098543,0.046973664,0.0030185794,-0.05416658,0.035824597,0.050991897,-0.12784097,0.02594304,-0.060133457,-0.11524583,0.028787931,0.015461689,0.0033161743,0.12529501,-0.013721077,-0.07881539,-0.11440988,0.043484796,0.03389704
China_Property_Price_YoY,-0.063188255,0.05248409,-0.013249741,0.034628488,-0.0022751563,0.02220897,-0.0060706767,-0.025766384,-0.03450378,0.0014492627,-0.022675425,-0.015906861,-0.0121645145,0.017982898,0.00465473,0.01994505,0.0342376,-1.0714824e-05,0.025945703,-0.030830488,0.0029296768,0.004757937,0.0013445616,-0.01592969,0.0090288725,-0.011703916,-0.013705885
USD_Index_DXY,0.041834958,-0.057836544,-0.04940994,-0.020970942,0.04967282,0.020741018,-0.030365724,-0.013176898,-0.019159839,0.017811928,-0.010203432,-0.030418418,0.004700383,0.02866189,-0.0028140119,-0.034584146,-0.042329744,0.015742544,0.020580003,0.010967287,-0.009656651,-0.016146798,0.015707131,0.037497584,-0.015700227,0.004003965,-0.007431184
China_PMI_Official,-0.01218808,0.011324334,0.035018675,-0.014778966,0.0070299665,-0.015694728,-0.017234324,0.06147715,0.050211035,-0.019669306,-0.0060493215,0.02140996,0.022664739,0.04188335,0.049672525,0.021459676,0.0029142909,0.007839959,0.012447792,0.010364311,0.1294817,0.018006306,-0.03680897,0.115700975,0.14178607,0.1968232,-0.0026942838
