,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
var_explained_%,19.543268,17.252087,8.236883,5.0463667,4.8876896,3.2924764,3.0699728,2.6268392,2.2160017,1.863417,1.5493804,1.3856813,1.0814036,1.0649853,1.0082438,0.8984965,0.84741014,0.79066056,0.7576684,0.70168877,0.6594894,0.5970179,0.5789845,0.5689259,0.544509,0.51163274,0.46304506
C5_FFA_C5_1MON,0.05395005,0.055474456,0.01187917,0.059007104,0.028794583,0.025218807,0.019986406,-0.007944366,0.026218293,-0.019428741,-0.009829702,0.014427017,-0.034298714,0.043099105,-0.013263928,-0.025139134,-0.011542518,-0.031139826,-0.010828245,-0.018513592,0.0069668004,-0.010964965,0.013370944,0.008223454,0.014987984,0.026342897,-0.0046080896
C5_FFA_C5_2MON,0.056806657,0.054412097,0.0064969305,0.038095534,0.031007603,0.01296663,0.024765087,-0.038346764,0.034167122,-0.010089319,-0.012816134,0.016223932,-0.03670266,0.04879703,-0.0039911726,-0.025963861,-0.014915399,-0.033629898,-0.0052532866,-0.01199866,0.026461322,-0.027726993,0.017508907,-0.019053707,-0.0029068068,0.010697376,0.005344056
C3_FFA_C3_1MON,0.061036095,0.043265063,0.0009058237,0.06078993,0.027979532,0.02604397,0.012173293,-0.026993312,0.03824427,-0.02234044,-0.0151019925,0.016214537,-0.033940617,0.050977312,-0.00129677,-0.025161745,-0.0179829,-0.04002026,-0.0015761965,-0.0063438355,0.01289822,-0.023024172,0.00024410246,-0.0071757017,-0.0033170523,0.012308715,0.0061024474
C3_FFA_C3_2MON,0.06240917,0.040068332,-0.0016650412,0.045568194,0.029899536,0.015779078,0.01740119,-0.050576348,0.04321161,-0.011238989,-0.014353754,0.019414885,-0.03803654,0.0570768,0.0073921042,-0.028722761,-0.019268867,-0.043086756,0.0036478117,-0.0011878622,0.029660698,-0.043457676,0.005454839,-0.02409544,-0.01143847,0.0068122954,0.01742439
China_M2_bn_USD,0.07122473,-0.036826786,0.031247865,-0.026940005,-0.009502641,-0.03291471,0.0180519,0.02172068,0.03093911,0.006939912,0.008388768,0.007194615,0.009208105,-0.010238485,-0.009438883,0.0224981,0.010847682,-0.001887094,-0.01450007,0.011075307,0.00476696,0.0061778617,-0.012332425,-0.02385758,0.0049082353,0.0060047065,-0.0069017634
China_New_Loan_bn_CNY,-0.0004374488,0.00598338,-0.00028509335,-0.052930184,0.017535169,-0.030793486,0.02696786,-0.060561907,-0.0040984116,0.046973806,0.0030179892,-0.054166608,0.035829373,0.05099365,-0.1278394,0.025985409,-0.060123857,-0.115292005,0.028765874,-0.015504955,0.0033982699,0.12498049,-0.014254273,-0.078420326,-0.11479136,0.04282831,0.032762557
China_Property_Price_YoY,-0.063187994,0.052484285,-0.013249691,0.034628518,-0.0022749812,0.022209022,-0.0060706264,-0.025766378,-0.034504026,0.0014493162,-0.022675358,-0.015906999,-0.012166502,0.017985344,0.0046530645,0.019951941,0.03424333,3.0124454e-06,0.025929075,0.030814338,0.0029034007,0.004907898,0.0013318453,-0.016078066,0.009427114,-0.011094499,-0.0144176595
USD_Index_DXY,0.041834764,-0.05783672,-0.04941002,-0.020971224,0.049672835,0.020740746,-0.030365732,-0.013177081,-0.019159826,0.017811986,-0.010203774,-0.030418396,0.0047043324,0.028662177,-0.0028110512,-0.034573928,-0.042338237,0.01574184,0.020593343,-0.010937431,-0.009628172,-0.016496213,0.015475062,0.037388027,-0.016252596,0.003974068,-0.007600029
China_PMI_Official,-0.012188034,0.011324401,0.035018623,-0.014778993,0.00702984,-0.015694972,-0.017234612,0.06147689,0.050211098,-0.019669715,-0.006049589,0.021411514,0.022684248,0.041877028,0.049669724,0.021467907,0.00294582,0.0076038395,0.012509845,-0.010170803,0.12964249,0.017146107,-0.03737358,0.11769411,0.1423351,0.1921499,-0.0065198024
